0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
3.8
3.9
4
4.1
4.2
4.3
4.4
4.5
4.6
15,-5.52784,1.44106,0.189767,-0.00531127,0.26251,0.426858,0.310632,-5.52784,1.44106,0.189767,-0.00531127
15.1,-5.51046,1.44217,0.189767,-0.00531127,0.263298,0.424996,0.311705,-5.51046,1.44217,0.189767,-0.00531127
15.2,-5.5038,1.44429,0.189767,-0.00531127,0.264026,0.423295,0.312679,-5.5038,1.44429,0.189767,-0.00531127
15.3,-5.46545,1.44393,0.180555,-0.00350567,0.264939,0.421074,0.313987,-5.46545,1.44393,0.180555,-0.00350567
15.4,-5.44131,1.44092,0.180555,-0.00350567,0.26584,0.418995,0.315165,-5.44131,1.44092,0.180555,-0.00350567
15.5,-5.41401,1.43503,0.28679,-0.0179777,0.264318,0.424218,0.311464,-5.41401,1.43503,0.28679,-0.0179777
15.6,-5.40073,1.43652,0.28679,-0.0179777,0.262752,0.429303,0.307945,-5.40073,1.43652,0.28679,-0.0179777
15.7,-5.3748,1.43069,0.207903,0.000150445,0.2629,0.429483,0.307618,-5.3748,1.43069,0.207903,0.000150445
15.8,-5.35813,1.43236,0.207903,0.000150445,0.263079,0.429652,0.307269,-5.35813,1.43236,0.207903,0.000150445
15.9,-5.31591,1.43057,0.219506,-0.0160536,0.26352,0.429512,0.306969,-5.31591,1.43057,0.219506,-0.0160536
16,-5.31449,1.43355,0.219506,-0.0160536,0.263913,0.42941,0.306677,-5.31449,1.43355,0.219506,-0.0160536
16.1,-5.27404,1.4317,0.203864,-0.00668362,0.264433,0.428854,0.306713,-5.27404,1.4317,0.203864,-0.00668362
16.2,-5.27311,1.42936,0.203864,-0.00668362,0.264948,0.428303,0.306749,-5.27311,1.42936,0.203864,-0.00668362
